nama,address,phone,up,fax
Masa Motor,,021 345 1936,,
Masa Motor,,021 345 1936,Bp. David,
Masa Motor,,021 345 1938,,
Masa Motor,,0213451938,,
Master Bangunan,Jl Raya ps Kemis no 16 ke Ps kemis tangerang,087808942271,,
Mawar Sari,,021 8087 8015,,
Media Digital Solution,senen,+62 859-5493-7838,,
Mega Beton,Jl. Radio Dalam - JakSel,021 720 5744,Cik Yeny,
Mega Teknik,Glodok Blustru Lantai Dasar Ruang 8-9,021 6262735,,
Megacools,Pulogadung,,,
Mekar Jaya,Glodok Jaya Lt Dasar No A27,6298009,,
Mery Baby Toys,ITC Cipulir Mas Blok.B Lt.1 No.179-180-181,021 7132 5423,,
Metro Jaya Diesel,Taman Sari VI/ no 11 Jakarta Barat,021 6392555,,
MIKA Kabel,LTC Glodok lt UG blok A7 no 9,,,
Mitra Bangunan,Kalimalang,,,
Mitra Sejuk Service,,021 8076 8062,Bp. Andri,
Mitra Sukses,,,,
Mitra Sukses,HWI lindeteves Lt dasar D3,6291705,,
Mitra Sukses,HWI lindeteves Lt dasar D3,6291705,Pak Dede,
MJ Music,LTC glodok,,,
Morten,Jl. Hayam Wuruk 127 Glodok,021-62320603,,021-62320604
Mr DIY,,,,
Mt Edma (Shopee),,,,
Multi Electronic,Glodok jaya,,,
Multi Jaya,"Wisma Sawah Besar, Jl.. Sukarjo Wiryopranoto",021 380 3324,,
Musatek-Sawah Besar,,,,
Muzatek,,,,
Muzatek Sawah Besar,,,,
"Naga Pasific, PT",,021 650 8873,Ibu Sandra,021 650 6614
"Naga Pasific, PT",,021 650 8873,ko ahua,021 650 6614
Nasional makmur,Glodok jaya no 68,6399260,,
National Electric,Plaza Pinangsia Lt.2 No.27,021 6232 0795,,
National Electronic,Ruko Glodok Plaza Blok C no. 1,6286369 - 6286370,,
New Jakarta,"Jl, samanhudi no 59","3844989 , 3812233",,
Nicco electronic,LTC Glodok,,,
NJM,Kebon jeruk 3 no 46,99046668 - 32987595,,
Noval Florist,,021 9333 6481,,021 55 22 016
NPP GO,,,,
Nusantara electronic,LTC lt 2 C 27 no 5,6293171,,
Nusantara Electronic parts,LTC lt 2 / C 27,,,
Nusantara Electronic parts,LTC lt 2 / C 27,6293171,,
Nusantara Electronic parts,LTC lt 2 / C 27,6294171,,
Nusantara Surya Sakti,Gedung Mandala Lt 5 - 6 tomang,568-5000,ibu tia,
O.K Electronic,LTC Lt 2 C 26,021-6220 0530,,021-6594 185
Onda,,,,
One Poles 24,"Gg. Reformasi No. 53, Jakarta Selatan",,,
Ori Balon,Jl Terate Gang 3 No. 27,08128427788,,
Otto Ban Haji Nawi,Radio Dalam,08118755331,,
Pak ARO,,,,
Pak Heru,,0838-7226-0600,,
Pak Maryudi,,,,
Pantai Jaya,Jl. Hayam Wuruk No.67,021 629 1334,Cik Feny,
Pantai Jaya,Jl. Hayam Wuruk No.67,021 629 1334,Cik Iing,
Paragon Elektronik,Cikupa Tangerang,,,
PD Alam Baru,Jl Pecenongan No 5 Jakarta Pusat,3805382,Bp Andre,
PD Indah Jaya,Jl Pinangsia Raya No 47,021 6286354,Ibu Rasty,
PD Kerta Rahayu,Jl Sedap malam No 06 Senen Jak Pus,081317891003,Bp Mulyana,
PD Mega Auto,,,,
PD Mega Motor,,,,
PD Pesat,,021 649 2630,,
PD Pesat,Jl. KH. Mas Mansyur No.254 Jembatan 5,021 649 2630,,-
PD Sama Mantap,komp pertokoan glodok jaya no 69,021 6399244,,
PD Victoria Indonesia,LTC Lt 2 blok B12 No 3,021 2607 1358,,
"PD, Putra Mandiri","pertokoan glodok jaya, lt.dasar B/51",021 629 9162,,
PD. Giat Semangat,Pertokoan Glodok Makmur No.28A,021 659 0112,,
PD. Kumala Sakti,Jl Kramat Pulo No 1A & 1B Jakarta Pusat,021 70009415,,
PD.Sahabat,Hayam wuruk indah building GF BKS/60-61,021 629 3922,,
PD.Sama Mantab,,,,
Pemprov DKI Jakarta,Jl Abd Muis no 65  Jakarta,021 38655580,,
Permata Hijau Ban,,,,
Permata Hijau Ban,,+62 818-0606-2875,Ibu Sri,
Permata Hijau Ban,,021 5369 0999,Ibu Rahma,021 5369 0595
Permata Hijau Ban,,021 5369 0999,Ibu Sri,021 5369 0595
Pertamina,,,,
Pioner Electric,"Gedung Kenari Mas, Lt.dasar C3-5. Jl Kramat Raya Jak Pus",021 3984 5760,Miss Vita,021 315 8430
Pioner Electric,"Gedung Kenari Mas, Lt.dasar C3-5. Jl Kramat Raya Jak Pus",021 3984 5760,Miss Vita,021 3984 1956
PLN,,,,
Pluit Utama,,021 6193568,Bp. Purbo,021 5439 0130
Pluit Utama,komplek harco glodok,021 6193568,Bp. Purbo,021 5439 0130
Polaris elect,LTC lt 1 blok C31 no 10,6598837,,
Popo Electronic,Glodok Plaza Blok H No. 12,08129240350,,
"Prapat Tunggal Cipta, PT","Komp Ruko Karang Anyar Permai 55 Blok A1, No.1 Mangga Besar JakBar",021 628 8835,Ibu Yeyen,
"Prapat Tunggalo Cipta, PT","Komp Ruko Karang Anyar Permai 55 Blok A1, No.1 Mangga Besar JakBar",021 628 8835,,
Prima Elektrik,Ruko glodok jaya,,,
"Prima Ferrotama, PT","Proyek Senen, Lt.2 Blok II No.61",021 3211 287,,021 7892 960
Prima Jaya Abadi,Pertokoan Glodok jaya lt 2 blok A 27,021 6010 066,,
Printhink,"Jalan Kepu Selatan 50B, Senen, Bungur, Jakarta Pusat",,,
Profindo Jaya,Jl Peta Selatan Duta Indah Alpha 1 Blok C No. 1,6285158825820,,
"Promosindo, CV",,0856 8918 017,Mr. Ferry,021 8233 645
PT Abadi Jaya,Plaza pinangsia Lt Dasar No 26-27,021 6594 873,pak Albert,-
PT Ahinata Karya Akusara (AKA Konsultan),Ruko Garden Boulevard Blok S.05,02159648370,,
PT Amen,,021 633 5085,,-
PT AMEN,Jl.gajah mada no 43 jakarta,021 6335085,,6334994
PT Andalan Inti Rekatama,Jl. Radio Dalam No. 42B,62217399809,,
PT Archem Indonesia Utama,Jl. H Naim 3 No 23 Cipete Utara Kebayoran Baru Jakarta Selatan,021- 722 9932,,021- 725 0720
PT Arfindo Bersinar,Perkantoran Kranggan Rt 16 No 25-26,021 8456737,,
PT Astra Otoparts /Shop& Drive,Tanjung Duren,568 3012,,
PT Atria Dimensi Solusindo (Bregas),Jl Setia 1 No. 67 JatiCempaka,082180008028,,
PT Bekat Rejeki Baru,Komp. Glodok Plaza Blok B No. 2,,,
PT Bentang Inti Aksara,Jl AMD N0 32 Rt 01 RW,0215866399,,
PT Benteng Laksana Jaya,Jl Prabukian Santang No 42 Rt 02 RT 01 Periuk Kota,,,
PT Berca Schindler Lifts,,,,
PT Berca Schindler Lifts,Jl Puri Lingkar Luar,80668222,,
PT Berch Schindler Lifts,,,,
PT Berkat bangun Indonesia,Ruko Golden 8  blok I 15 Gading serpong Tangerang,0878 7722 5819,,
PT Berkat Sahabat Sejati,Jl Perumnas Raya no1 Duren Sawit Jakarta Timur,021 8608092,,
PT Berkat Sahabat Sejati,Jl Perumnas Raya no1 Duren Sawit Jakarta Timur,021 8608092,Bp. Erwin Kusbiantoro,
PT Berkat Sahabat Sejati,Jl. Perumnas Raya No 1 Duren Sawit Jakarta Timur,021 8608092,Ibu Desi,
Pt Cahaya Tri tunggal Abadi,Ruko prominence Blok 38 D no 62,021 30052788,,
PT Citra Kreasi Makmur,,62811178886,Willy,
PT Concorde Auto mandiri,,,,
PT Dachang Selving,jl raya serang km24,081273699248,Maysitoh Harun,
Pt Dhimas Mitra Internasional,Gedung Plaza Jayakarta Lt. 1,,,
PT Ecommerce Badan Informatika,"Jl. Ciledug Raya No. 24D, Pertukangan Selatan, Pesanggarahan, Jakarta Selatan",622173667399,,
PT Forta-Larese,Jl Musi no 16 Jakarta,021 386 1018,Bp Purba,021 384 9409
PT Ganesha Jaya Abadi,Jl Marunda Timur no 2 Marunda Jakarta Utara,02144260261,Bp Zaenal,
PT Ganesha Jaya Abadi,"Jl Swatantra V No.13, Jatiasih",081317614407,,
PT Ganesha Putra Jaya,Jl Marunda Timur no 2 Marunda Jakarta Utara,02144260261,Bp Zaenal,
PT Global Kreasi Printama,Jl Tanjung Duren timur V No 19 RT 02 Rw 04 JakBar,087880931298,,
PT Graha Teknik Supplierindo,"Jl Raya Tipar Cakung No 88 Km3,9 Cakung Jakarta Timur",45875211,,
PT Harmoni Bangun Sejahtera,Aldeoz Building Kalibata,089655567399,,
PT Hetra Teknologi Indonesia,Plaza Summarecon Bekasi,,,
PT Home Center Indonesia,,,,
PT Indo Teknik Lindeteves,Lt Gf2 Blok A19 no 6-7,021 6232 0753,Mba Tita,
PT Indocool,Ruko Daan Mogot Baru LC2 no 1,"5410056, 54397097",,54377186
PT Indohes magna Persada,Gedung Multindo Persada Mampang Prapatan26 Jakarta Selaan,021 22790208,,
PT Intraco Penta Prima Servis,Jl Raya Cakung-Clincing Km 3.5,0214401408,,
PT JatiLuhur,,0816 1992 695,Ko Agus,
PT Jof Metal Works,"Komp. Batik Mekarwangi Kav. 19, Cibitung, Bekasi",82600586,,
PT Josea Trisha Semesta,Komp. Ruko Buana Subur Blok D No. 1,02159712587,,
PT Kerta Anggur Sejahtera,"Kas. Industri Pulogadung, Blok 2 J No. 16-17 Cakung, Jakarta Timur",,,
PT Kurniadi Perdana Graha,Jl Lautze No 69 Jakarta Pusat,021 6292170,Bp Mendi,
PT Laris Chandra,Jalan Kayu Besar 4,085200038880,Iyong,
Pt Limpa Mas Indonesia,Jl mangga besar 1 no 90 Jakarta Barat,,,
PT Mamkur Graha Kembar,"Jalan Purbaya Raya Blok B1/8, Duren Sawit, Jaktim",082299391010,,
PT Mella Paint and Chemicals,Komp. Green Ville Blok AW No. 16,5604831,,
PT Mitra Cipta Hardi Elektrindo,Komplek Harco Mangga Dua Plaza Blok C No. 2,085890802078,,
PT Mitra Mandiri Indoservis,Kp. Gempol Swadaya II No. 82,,,
PT PAM LYOINNAISE JAYA,Dipo Business Center lt 16 Jl Jend Sudirman Kav 51 Tanah Abang Jakarta Pusat,,,
PT Petirindo Jaya Abadi,Jl Wijaya Kusuma Raya No46 Jati Makmur Pdk Gede Bekasi,02185515750,,
PT PT ALJABBAR GROUP SOLUTIONS,"JL. Kampung Bali X, JAKARTA PUSAT, DKI Jakarta",082124892422,,
PT Pustaka Anugerah Sejahtera,,08161850976,Bp. Purbo,
PT Pustaka Anugerah Sejahtera,,08161850976,Purbo,
PT Refcon Polar Nusaindo,Jl Halim Perdana Kusuma pergudangan duta niaga no 9BL Benda Tangerang,021 80627021,,
PT Rukun Sejahtera Tekhnik,Komp Ruko Glodok Jaya No. 80-81 & 87,021 628 1615,,
PT Saputra Jayapratama,"Jl KH Moh Mansyur 164A (Jembatan Lima), Jakarta",6281399353857,Bp Sapira,
PT Sentra Multi Karya ( DFSK SMK Kranji I ),Jl Sultan Agung Km 20.5 Kotabaru Bekasi Barat,,,
PT Sharma Indotama Indonesia,Ruko Harvest Kavling OE III No18 Cikaragemen Setu Kab Bekasi,0813 1108 2085,,
PT Sumber Jaya Langgeng,"Jl Raya Kembangan No. 168, jakarta Barat 11610",021 5818143,,
PT Tunas Mobilindo Perkasa,Jl Pecenongan No 80,0213865011,,
PT Tunas Mobilinndo Perkasa,Jl Pecenongan no. 80,3865011,,
PT TUV Nord Indonesia,Arkadia Green Park Tower F6th Floor Suite TB Simatupang,021 78837338,,
PT United Transindo,Komp Pergudangan Sinar Buduaran Blok A No 9,,,
PT Upaya Lestari Semesta,Jl Cincin Danau Utara Blk D/11,65834460,,
PT Upaya Riksa Daya,Jl Pondasi No 50B Jakarta Timur,021 47865925,,
PT Upaya Riksa Patra,"Jl. Pondasi No 50B - Kampung Ambon, Jakarta Timur",,,
PT VGA SCALE INDONESIA,Komp Mutiara Taman Palem,021-5435-0483,Ibu Nurul Azhar,021-2902-0154
PT Wijaya Agung Hutama,jl Asem Baris Raya No 3B,283790559,Bp Kresno,021 83797191
PT Wisantra Aksara,Jl Bedugul 5B No 12 Ruko Daan Mogot Baru Jakarta.,021 5444950,Bp. Purbo,
PT Wisantra Aksara,Jl Bedugul 5B No 12 Ruko Daan Mogot Baru Jakarta.,081218387203,,
"pt, Denso Centra",Jl Pecenongan 37 B,3454125 / 26 / 27,,
Pt. Cakra Anugerah Perkasa,"Jl, Kampung Bandan no 10","6904257 , 6904269",Ibu Heni,69833127
Pt. Cakra Anugerah Perkasa,"Jl, Kampung Bandan no 10","6904257 , 6904269",Ibu Reva Octavia,69833127
PT. Citra Electrindo Mandiri,"Jl. Raya Serang Km.12,5 No.2 Cikupa - Tangerang",021 5940 6937,Mr. Suwarjo,021 5940 4936
Pt. Ekadharma Int,Jl. Agung Timur Blok O1 no 71,6512503,Bp. Erwin,
Pt. Ekadharma Int,Jl. Agung Timur Blok O1 no 71,6512503,Bp. jono,
Pt. Ekadharma Int,Jl. Agung Timur Blok O1 no 71,6512503,Bp. Ringgo,
PT. Harapan Masa,Jl. Pangeran Jayakarta No.30A Jakarta Barat,021 625 8486,Miss Desi,
PT. Indo Tehnik Mitra Pratama,LTC Glodok,021 6232 0763,,
PT. Jaya Kurnia Perkasa,Komp. Pertokoan Glodok Jaya No.6,021 625 5540,,
PT. KAWAN LAMA SEJAHTERA,Puri kencana no 1,5828282,Ibu Asri,
PT. KAWAN LAMA SEJAHTERA,Puri kencana no 1,5828282,Ibu NIvie,
PT. KAWAN LAMA SEJAHTERA,Puri kencana no 1,5828282,Ibu Novaria,
PT. Kogara Prima Media,Jl. Prof. Dr. Latumeten Blok C15,97694123,,
Pt. MItra adi perkasa,"29th Floor, Sahid Sudirman Center,",8064 8498,,574 0339
PT. Pelangi Teknik Indonesia,LTC Lt. GF2 Blok B7 No. 5,02162303512,,
PT. Petroasia Karya Mandiri,,021 5312 1830,Miss Alvi,021 5312 1831
PT. Petroasia Karya Mandiri,,021 5312 1830,Miss Tiwi,021 5312 1831
PT. Prestasi Pelumasindao Unggul,Jl. Tanah Abang IV No.48 Jakarta Pusat,021 344 7515,,021 380 6158
PT. Prestasi Pelumasindo Unggul,,021 344 7515,Bp. Ericson,021 380 6158
PT. Prestasi Pelumasindo Unggul,,021 344 7515,Bp. Hendra,021 380 6158
PT. Prestasi Pelumasindo Unggul,,021 344 7515,Ibu Atin,021 380 6158
PT. Prestasi Pelumasindo Unggul,Jl. Tanah Abang IV No.48 Jakarta Pusat,021 344 7515,,021 380 6158
PT. Prestasi Pelumasindo Unggul,Jl. Tanah Abang IV No.48 Jakarta Pusat,021 344 7515,Ibu Atin,021 380 6158
PT. Riyadi Putera Makmur,Komp. Pertokoan glodok jaya No.61-62,021 625 5548,Miss Juli,021 625 5888
Pt. Sahabat Cipta Semesta,jl. kelapa Puan Raya blok AD 14/30 gading serpong,021-5466091,ibu Aida,021-5470175
Pt. Sahabat Cipta Semesta,jl. kelapa Puan Raya blok AD 14/30 gading serpong,021-5466091,ibu Anita,021-5470175
PT. Sinar Laut Mandiri,Jl. Mangga Besar 1 No.78,021 628 5588,,
PT. Sugison Senada,Jl. Pinangsia III no 26 A,62302486,,
PT. Tripacific Electrindo,,021 6385 3988,Ibu Maryam,021 6385 3988
PT. Tritunggal Mahasarana,"Mangga Dua Square, Lt.2 Blok A/P51-53",021 6231 0357,Bp. Andeas,021 6231 8543
pt. Unirama Duta Niaga,"Jalan Agung Timur II Blok O4/9-11, Jakarta Utara",6512347,Pak. Wiyatna,08113464027
Puspa Indah Florist,Jl. Wastukencana 34b.7 Bandung,022 4243188,Nandan,
Putera Motor,,,,
Putra Andalan,Gd Paseban lt I 5-6 kramat raya,08158968022,,2303298-97
Putra Jaya,Jl Alaydrus 14A Jakarta Pusat,0216337421,,
Putra Jaya,Jl. Alaydrus Raya No.14A,021 633 7421,,
Putra Jaya Abadi,Jl. LTC Glodok LT.UG/B17 No.06,021 6231 7828,,
Radio Dalam,jl Radio dalam no 18,021 725-2384,,
Rainbow Interior,,021 5808 865,Miss Rosi,
rakitan.com,Mangga 2 Mall,6281519531529,-,-
Rama Motor,ITC Duta Mas Fatmawati (pertokoan niaga duta mas Lt.dasar No.23) Jl. RS.Fatmawati-JakSel,021 7279 3686,,
Remaja Karya,HWI Lindeteves lt dasar B 79,"6242482 , 6242321",,
Rezeki Bersama,"LTC Glodok, Lt, GF2 B12 Jakarta",021 607 89 145,Bp. Herik Hartanto,021 623 202 72
Rezky battery,GD Blustru lt Dasar Blok A,,Bp. Herik Hartanto,
Rhino Rope Access,Jalan Bogen 2 No.10 Kel. Ploso Kec. Tambaksari Surabaya - Indonesia,085967988716,,
Rhino Rope Access,"Jl Bogen Gang 2 No 10 Ploso, Tambaksari, Surabaya",085967988716,,
Rian Jaya Safety,LTC lt 1 Blok B 27,,,
Rizal Motor Pembangunan,,0812 1956 8795,,
Rizky battery,Glodok GD Blustru,,,
Rizky Florist,Jl Pemda Tigaraksa,083898434006,,
Roda Hammerindo Jaya,,,,
Rolex Motor,Jl. R.S. Fatmawati,085922200212,,
Rolex Motor,Wisma sawah besar A/3,021 352 0373,,
Rose Medical,Pasar Pagi Pramuka,021 85901642,,
Rumah Dekor,"Ruko Jalur Sutera Kav. 19A No. 23, Tangerang Selatan, Banten",628118553535,,
Rumah Promosi,"Jl. Buaran, Jl. Raya Viktor Bsd Gg. Mawar No.121, Buaran",6281293959565,,
Rumah Promosi,Penggilingan Raya Cakung JakTim,081381819119,,
Saderek,Komp HWI Lindeteves Ruko no 15,6595862,,
Safety System,Jl. Sekehaji Blok J3 No.31,08119011414,,
Sahabat Mega Technic,LTC Lt.GF2 Blok C10/2,021 659 6942,,
Sama Djaya,Pertokoan Glodok Jaya Lt 2 blok B 32-33,021-6249719,,
Sama Tunjang,Pertokoan LTC GF2 C6/1-3,021 6232 0122,,
SANTECH INSTRUMENTS,"LTC GF2,B1 NO 6 -7",021- 62320333,,
Sarana Komputer,Mangga 2 Mall Lt Dasar Blok D no 60 AD,021-22682523,,
Sarang Mas,Pertokoan glodok blustru No.25&25,021 6242233,,
Sarang Teknik,Pertokoan glodok jaya No.25&26 lt dasar,021 6256677,,
Saria Kaca,P Jayakarta no 4,021-6288362,Ci Ahok,
Satria Pot,,08561900543,,
Satria Pot,Ragunan,,,
"Sejuk Mitra Teknik, CV",,021 8076 8062,Bp. Andri,
Sekai,,,,
SEKAI (Shopee),,,,
Selatan Seal,Glodok Jaya lt Dasar Blok C N0 57,6399661,,
Sentosa Jaya Abadi,LTC  lt 1 Blok C15 No 1&5,6285853,,
Sentosa Suzuki,Atrium Senen Blok B22 Lt.5,0812-2262-2899,,
Serayu Electronic,Jl. Danau Sunter Utara A1/5A,021 681 866 56,,
Serayu Electronic,Jl. Danau Sunter Utara A1/5A,021 681 866 56,miss Nita,
Serba Jaya,Komp. Glodok Jaya,,,
Service Radiator,Jl BRI No 17B Radio Dalam,0823 5147 8878,,
Setia Jaya,"Muzatek Jaya Building, Lt.1 Blok H19-20 Sawah Besar",021 3178 7038,,
sffsd,nbjndsfnksn,0121302132,nkjsdfksdm,02313213
SG Surya Global,Pertokoan glodok jaya Lt.dasar A/35,021 659 7854,,
SHINPO,,,,
Shopee,,,,
Shoppe Online,,,,
SIM Brother,LTC Glodok lt UG Blok A5 No 9,62320128,Ricky,
Simetris,Jl. Raya Binong curug Kavling kelapa baris No.18/19,081324015299,,
Sinar Abadi,"Jl. Ampera Hankam, Buaran - Serpong Tangerang Banten",021 7014 9396,,021 626 4991
Sinar Abadi,"Jl. Ampera Hankam, Suaran - Serpong-Tangerang",021 7014 9396,,
Sinar Djaya Toko,Jl. Gajah Mada No.35,,,
Sinar Electronics,Glodok makmur Lt.dasar No.30D,021 6220 0639,,021 6220 0639
Sinar Feilindo (Tokopedia),,,,
Sinar glodok lestari,LTC lt 2 Blok B 19 no 5,08161978206,,
Sinar Jaya,"Pasar Cipete AKS.57, Jl. RS. Fatmawati - JakSel",021 726 2629,,
Sinar Jaya,"Pasar Cipete AKS.57, Jl. RS. Fatmawati - JakSel",021 726 2629,Koh Acay,
Sinar Karya,Pertokoaan Glodok No 6,021-6253710,,
Sinar Lau Mandiri,,,,
Sinar Laut  Mandiri,,,,
SINAR LAUT ABADI,Jl Hayam Wuruk,021 625 5495,,
SINAR LAUT MANDIRI,Jl. Blustru,021 624 3366,,
SINAR LAUT Perkasa,Komplek Ruko Glodok Jaya No 84-85,,,
SINAR LAUT Perkasa,Komplek Ruko Glodok Jaya No 84-85,021-6525495,,
Sinar Makmur,"LTC Lt.GF.1 Blok A.27, No.6",021 6220 1196,Miss Pingky,021 6220 1197
Sinar Mulia,"Pertokoan Glodok Jaya, Lt.dasar A/63",021 6494409,,021 626 4991
Sinar Pacific (Shopee),,,,
Sinar Safari Motor,"Ps mobil Kemayoran Blok S 107 D,F",021 6543670,,
Sirimas Turbo,Taman Sari Jakarta Barat,,,
Snappy Offical Store,,,,
Soto Tangkar,,,,
SPBU Cikuoa,,,,
SPBU Cikupa,,,,
SPBU Radio Dalam,,,,
Srikaya Mas Pratama,Glodok Makmur 29 A,021 626 8629,,
Srikaya Mas Pratama,Glodok Makmur 29 A,021 626 8629,Koh Leo,
Stampel,,,,
Star Motor,,,,
STAR MOTOR,Jl Sawah Besar 1 No.19,021 6298 895,,
Star Motor,Jl. Kebon Jeruk III,,,
Star Motor,Jl. Sawah Besar 1,,,
STAR MOTOR,Jl. Sawah Besar 1,021 626 9923,,
Star Motor,Jl. Sawah Besar 1,021 629 8895,,
Star Motor,Jl. Sawah Besar 1,021- 629 8895,,
Star Motor,Jl. Sawah Besar 1,021-6298895,,
Star Motor,Jl. Sawah Besar 1,6298895,,
Star Motor,Jl. Sawah Besar 1 No 19,021- 6298895,,
Star Motor,Jl. Sawah Besar 1 no 19,021-6298895,,
STAR MOTOR,Jl. sawah Besar 1 No.19,021 629 8895,,
Star tire,jalan raya pecenongan no 25,021 3813065,,
Starindo Mandiri Tekhnik,LTC lt GF 1 Blok A25 no1 Hayam Wuruk,,,
Subur,Jl Kh Hasyim Ashari No 71 A/B,021 6338288,Ibu Yuna,
Subur Furniture,"Jl. KH Hasyim Ashari No. 71 ab, Cideng, Kec. gambir, Jakarta Pusat",0216338288,,
Sugar Promotion Building,Jl Menara ANTV Kav DKI 151 No 3 Meruya Selatan Jak Bar,,,
Sugi Mandiri,,,,
Sugi Mandiri,"Pertokoan glodok blustru, Lantai dasar No.10,11,12",021 626 8983,,
Sugison Plastic,Jl. Pinangsia III No 26 A,021-62302486,,
Sugison plastic,Pinangsia III no 26 A,62302486 - 6259958,,
Sugison Plastics,jl Pinangsia III  No 26 A,021-62302486,,
Sugison Plastics,Jl. Pinangsia III No 26-A,021- 6230-2486,,
Sugison Plastics,Jl.Pinangsia III No. 26- A,021 6230 2486,,021 6230 2485
Sugison Plastics,Jl.Pinangsia III No. 26- A,021 6230 2486,Ibu Yuli,021 6230 2485
Sugison Plastics,Jl.Pinangsia III No. 26- A,021 6230 2486,Yuli,021 6230 2485
Sugison Plastik,jl. Pinangsia III no 26A,62302486,,
Sugison plastik,Pinangsia III no 26 A,62302486 - 6259958,,
Sukses Makmur,"Plaza Pinangsia Computer Centre, Lantai 2 No. 32",021-62310641,,021-62310642
Sukses Makmur Sukhitatta,Ltc lt UG blok A2 No. 38A,62320360,,
Sumber Hidup,Jl. Gajah Mada No 225,021 6343213,,
Sumber Hidup,LTC GF 2/B16,021 622 00723,,
Sumber Hidup,LTC GF 2/B16,021 622 00723,Agnes,021 626 2733
Sumber Jaya ( Paint Brothers),Gunung Sahari XI blok b no 24,021 62202126,,
Sumber Makmur Ban,Jl. Daan Mogot 2 Duri Kepa Kec Kebon Jeruk Jakarta Barat,021 5601913,,
"Sumber Makmur, CV","Gd. Metro Glodok, Jl. Blustru No.15",021 626 2130,,021 639 6955
Sumber Mandiri,"Pertokoan Glodok Jaya, Lt.dasar C24/25",021 626 6725,,
Sumber Mas,Blok H 11 no 12 dan 15,021 6540874,,
Sumber Rezeki,Glodok Harco Lt.dasar D1/216,021 629 5135,,021 629 1480
Sumber Rezeki Kemayoran,Pasar Mobil Kemayoran Blok S no 111H,0813 6209 1893,Ko ATIONG,
Sumber Teknik,Glodok Jaya lanai dasar A/6,021 624 4560,,
Sumber Teknik Motor,"Komplek Duta Harapan Indah Blok A/21-24, Jl Kapuk Muara",021 6660 1580,,021 6660 1610
Super Mexico Tailor,"Jl Raya Kresek Saga , Tanggerang",,,
"Super Surya Indonesia, PT",LTC Glodok Lt.UG Blok.C/25 No.6,021 6230 7685,Bp. Andryan Aminoto,
Supplier Glodok,LTC Lt 2 Blok B-17 No 9,021-6232-0716,,
Surya Abadi,Pertokoan Glodok jaya Blok I D15 Jakarta Barat,,,
Surya Agung,Jl. KH.Moh.Mansyur No.259,021 631 4065,Miss May Chun,
Surya Gemilang,,021 7059 6901,,
Surya Jaya Teknik,LTC glodok Lt. GF.2 B1/8-9,021 626 2382,,
Suzuki Musi Jaya,CIpete,+62 813-8771-4166,,
Tang & Tool,LTC Glodok Lt UG blok B3 No. 5-8,62303328-62303329,,
Tang & Tools,glodok Jaya,,,
TATA MOTORS,Jl. Kramat Raya No 17,021 31926429,Pak Yatno,
TB Bambang,,,,
TB Bambang,,021 350 5093,,
TB Bambang,Jl. Pecenongan Raya,021 350 5093,,
TB Cemerlang,Jl Raya Pemda Tigaraksa Km 2.5 No. 9,,,
TB Cikupa Mas,Jl Raya Otonom Cikupa-Pasar Kemis No.9 Tangerang Banten,021 5969 046,,021 5940 4529
TB Kedaton Indah,Jl Mitra Mas Raya No 6 Telagsari Cikupa,089523677185,,
TB Lancar,BLOK A Fatmawati - JakSel,021 724 3691,,
TB Pusaka Jaya,Jl. Gandaria I blok B1 no 13 B,021-7268907,Bp. Fauzan,
Tb Putra Jaya,Jl.Alaydrus No.14A petojo Utara Ganbir,0815-1928-8718,,
TB Sinar Jaya,Cikupa,,,
TB Solusi,Glodok,,,
TB Sumber Hidup,Jl. AM Sangaji No.3B,021 634 7739,,
TB.Lancar,Jl. Gandaria 1 No.43 Keb Baru,021 724 3691,,
Termulia Teknik,,,,
Tim jaya,jl. H Raya no 7 D Gandaria Utara,7247832,,
Tk emas Lapan Saudara,"Psr Pecah Kulit Los B/12 A, Jakarta",659.8340,,
Tk Sarana,,021-85916152,,
Tk sepeda Maju Jaya,asem reges,6290650 - 6287040,ci linda,
TK. Lee Chien,Glodok Plaza F/50,021 649 1136,,
TM Electornic,Jl. Petogogan 1/36a Jakarta Selatan,021 73910564,,
Toko ACCU OE Yeen,,021 345 8763,Bp. Oe Yeen,
Toko Accu Oe Yen,,021 345 8763,,-
Toko Bambang,,021 350 5093,,
toko bangunan,Jl Alaydrus jakarta pusat,,,
Toko Bangunan Bambang,,021 350 5093,,
Toko Bangunan Bambang,Jl Pecenongan Raya Jakarta Pusat,021 350 5093,,
Toko Bangunan Kanaaan,Depan pasar petojo,,,
Toko Bangunan Kanaan,Depan pasar petojo,,,
Toko Berkah,Jalan Petamburan 1,087883823505,,
Toko Bubut,,,,
Toko Bunga Desley,,021 6806 8968,Ibu Ratna,021 535 3895
Toko Bunga indobunga Manado,,0857 3752 8419,I Made Sutrisna Suandana,
Toko Bunga Prestisa,Jln Merak 5 no 5,082298681272,Muza,
Toko Bunga Rafani, Komplek Pasar Bunga Wastukencana Blok B10,081317092650,,
Toko Bunga RANDY,Murukan gg 1 No 9A Surodinawa Mojokerto,08563336760,Bp Randy,
Toko Cahya Irhan,Senen Blok 3 Lt 1 CKS No. 286-287,085722085090,,
Toko Cat Amen,,,,
Toko Cat Amen,,081617880788,,
Toko Crown,Duri,,,
Toko Gloria Tas,LTC  Lt 1 Blok C32 No 1,29624974,,
Toko Hidup baru,Jl. Panglima Polim,021 7247846,,
